source_id,paper_slug,paper_title,authors,year,journal_or_series,doi,mineru_match_status,mineru_match_score,mineru_run_ids,primary_source_title,model_title_match_score,primary_full_md_repo,primary_full_md_repo_relpath,primary_full_md_sha256,raw_pdf_repo,raw_pdf_repo_relpath,raw_pdf_sha256,source_markdown_storage,linked_model_ids,linked_model_count
ea_ckl09_nk_ckl09__the_role_of_labor_markets_for_euro_area_monetary_policy__c6a4d4a1,ea_ckl09_nk_ckl09__the_role_of_labor_markets_for_euro_area_monetary_policy,The role of labor markets for euro area monetary policy,"Christoffel, Kai; Kuester, Keith; Linzert, Tobias",2009,"European Economic Review 53(8), pp, 908-936",10.1016/j.euroecorev.2009.04.007,matched,1.0000,c6a4d4a1-f4da-4ed7-b63e-ee120ffc2c90,The role of labor markets for euro area monetary policy,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_ckl09_nk_ckl09__the_role_of_labor_markets_for_euro_area_monetary_policy__c6a4d4a1/full.md,4c7bd0caeddc3bd96696f15a8b2d9f550bd3f408c526d219daa38203fc928870,dsge-evaluation,raw/mmb_papers/The role of labor markets for euro area monetary policy.pdf,28b5e367177eb94e495818f5e162b592a60a296c521e22e6d27c077ce18b8764,not_vendored_public_repo_copyright_boundary,EA_CKL09;NK_CKL09,2
ea_cw05fm_ea_cw05ta__a_small_estimated_euro_area_model_with_rational_expectations_and_nominal__61e070cd,ea_cw05fm_ea_cw05ta__a_small_estimated_euro_area_model_with_rational_expectations_and_nominal,A small estimated euro area model with rational expectations and nominal rigidities,"Coenen, Günther; Wieland, Volker",2005,"European Economic Review 49(5), pp. 1081-1104",10.1016/j.euroecorev.2003.05.001,matched,1.0000,61e070cd-c0ff-4227-a6b9-cd467639e42a; 26225de1-ea64-4af0-b98d-aa4567c0b51d,A small estimated euro area model with rational expectations and nominal rigidities,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_cw05fm_ea_cw05ta__a_small_estimated_euro_area_model_with_rational_expectations_and_nominal__61e070cd/full.md,6e51b2fba84b97951e64979fdd43544eb60aec616690acb0acf6635c281f7dc5,dsge-evaluation,raw/mmb_papers/A small estimated euro area model with rational expectations and nominal rigidities.pdf,b2d23bb0ec1b61446c02ba61ba9305be172edca764e72d411ca980676a42298d,not_vendored_public_repo_copyright_boundary,EA_CW05fm;EA_CW05ta,2
ea_dkr11__macroeconomic_propagation_under_different_regulatory_regimes_evidence_fr__5f88c84d,ea_dkr11__macroeconomic_propagation_under_different_regulatory_regimes_evidence_fr,Macroeconomic propagation under different regulatory regimes: Evidence from an estimated dsge model for the euro area,"Darracq Pariès, Matthieu; Kok Sørensen, Christoffer; Rodriguez Palenzuela, Diego",2011,"International Journal of Central Banking 7(4), pp. 49-113",10.2139/ssrn.1682085,matched,1.0000,5f88c84d-4ac6-4143-bc92-34650cecb875,Macroeconomic propagation under different regulatory regimes- Evidence from an estimated DSGE model for the euro area,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_dkr11__macroeconomic_propagation_under_different_regulatory_regimes_evidence_fr__5f88c84d/full.md,534d6cf242b22ae00428b49094bc88bc4cb707a3c43c9e40f4c9709a0ea0fbc4,dsge-evaluation,raw/mmb_papers/Macroeconomic propagation under different regulatory regimes- Evidence from an estimated DSGE model for the euro area.pdf,5a1c56af3568e948b80a70588cff543195c389a9feea446de31ada0874289b4f,not_vendored_public_repo_copyright_boundary,EA_DKR11,1
ea_ge10__the_external_finance_premium_in_the_euro_area_a_dynamic_stochastic_gener__718b56bc,ea_ge10__the_external_finance_premium_in_the_euro_area_a_dynamic_stochastic_gener,The external finance premium in the euro area: A dynamic stochastic general equilibrium analysis,"Gelain, Paolo",2010,"American Journal of Economics and Finance 21, pp. 49-71",10.1016/j.najef.2009.11.004,matched,1.0000,718b56bc-8aed-4451-918b-757f84af4c3c,The external finance premium in the euro area- A dynamic stochastic general equilibrium analysis,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_ge10__the_external_finance_premium_in_the_euro_area_a_dynamic_stochastic_gener__718b56bc/full.md,3193a15a1abe7995c8d8c80d5c65736b19412d4d15406ffd510419c0153a68fd,dsge-evaluation,raw/mmb_papers/The external finance premium in the euro area- A dynamic stochastic general equilibrium analysis.pdf,4cdfa9b978430ecf618a4ac410d17dfa7e149f81c6c93e45c4ff6b6839a3b5eb,not_vendored_public_repo_copyright_boundary,EA_GE10,1
ea_gnss10__credit_and_banking_in_a_dsge_model_of_the_euro_area__2883c15a,ea_gnss10__credit_and_banking_in_a_dsge_model_of_the_euro_area,Credit and Banking in a DSGE Model of the Euro Area,"Gerali, Andrea; Neri, Stefano; Sessa, Luca; Signoretti, Federico M.",2010,"Journal of Money, Credit and Banking 42 (s1), pp. 107-141",10.1111/j.1538-4616.2010.00331.x,matched,1.0000,2883c15a-d7ec-4dfa-9313-d893eb9a6414,Credit and Banking in a DSGE Model of the Euro Area,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_gnss10__credit_and_banking_in_a_dsge_model_of_the_euro_area__2883c15a/full.md,84ed07a4f0bf3c10f2e558ec70a5cecee240217385dd838e0ae828ce23391ec2,dsge-evaluation,raw/mmb_papers/Credit and Banking in a DSGE Model of the Euro Area.pdf,dfed01c7f1a778b1410993a143c81551149d1af8a3626b75e460b37b888d8d27,not_vendored_public_repo_copyright_boundary,EA_GNSS10,1
ea_pv15__cross_border_banking_flows_spillovers_in_the_eurozone_evidence_from_an_e__e624b564,ea_pv15__cross_border_banking_flows_spillovers_in_the_eurozone_evidence_from_an_e,Cross-border banking flows spillovers in the eurozone: Evidence from an estimated DSGE model,"Poutineau, Jean-Christophe; Vermandel, Gauthier",2015,"Journal of Economic Dynamics and Control 51, 378-403",10.1016/j.jedc.2014.11.006,matched,1.0000,e624b564-2ce5-4d2a-bd46-e55027276842,Cross-border banking flows spillovers in the eurozone- Evidence from an estimated DSGE model,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_pv15__cross_border_banking_flows_spillovers_in_the_eurozone_evidence_from_an_e__e624b564/full.md,4ec1672a85c2be71fe027d419e29e6b8368ffc0a0c74a68f626d6f917413ea13,dsge-evaluation,raw/mmb_papers/Cross-border banking flows spillovers in the eurozone- Evidence from an estimated DSGE model.pdf,8f8f291f437955a9d581f498390dc39c0cd862a4c26f17d9f329af5e70390304,not_vendored_public_repo_copyright_boundary,EA_PV15,1
ea_pv16__the_portfolio_balance_mechanism_and_qe_in_the_euro_area__1dbe823d,ea_pv16__the_portfolio_balance_mechanism_and_qe_in_the_euro_area,The Portfolio Balance Mechanism and QE in the Euro Area,"Priftis, Romanos; Vogel, Lukas",2016,"Manchester School, University of Manchester, vol. 84(S1), 84-105",10.1111/manc.12162,matched,1.0000,1dbe823d-38c1-402a-a377-4ef3dc5a460a,The Portfolio Balance Mechanism and QE in the Euro Area,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_pv16__the_portfolio_balance_mechanism_and_qe_in_the_euro_area__1dbe823d/full.md,7d9f439a5c179c3ccc79a0fc8d7add484df736c60d6eef9eef5f5e4c5ae851ec,dsge-evaluation,raw/mmb_papers/The Portfolio Balance Mechanism and QE in the Euro Area.pdf,43fdf6da2bfa6ddd4ef26bc72f5cdbe8eb515d3eddedc4d6e0778965f15dc6dd,not_vendored_public_repo_copyright_boundary,EA_PV16,1
ea_pv17__the_macroeconomic_effects_of_the_ecb_s_evolving_qe_programme_a_model_bas__dca27de6,ea_pv17__the_macroeconomic_effects_of_the_ecb_s_evolving_qe_programme_a_model_bas,The macroeconomic effects of the ECB's evolving QE programme: a model-based analysis,"Priftis, Romanos; Vogel, Lukas",2017,"Open Economies Review, Springer, vol. 28(5), 823-845",10.1007/s11079-017-9460-1,matched,1.0000,dca27de6-171d-47e9-978d-bdfbdeadfa8a,The macroeconomic effects of the ECB's evolving QE programme- a model-based analysis,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_pv17__the_macroeconomic_effects_of_the_ecb_s_evolving_qe_programme_a_model_bas__dca27de6/full.md,9b61ea05248791e7f8efa70986a5015af88f325677f104141da41628615b2c3d,dsge-evaluation,raw/mmb_papers/The macroeconomic effects of the ECB's evolving QE programme- a model-based analysis.pdf,6438cb7f8f8bbfdc60d39ecee54695a43b05e62347614dd6bcf457905f118ce4,not_vendored_public_repo_copyright_boundary,EA_PV17,1
ea_qr14__monetary_and_macroprudential_policy_in_an_estimated_dsge_model_of_the_eu__78d59631,ea_qr14__monetary_and_macroprudential_policy_in_an_estimated_dsge_model_of_the_eu,Monetary and Macroprudential Policy in an Estimated DSGE Model of the Euro Area,"Quint, Dominic; Rabanal, Pau",2014,"International Journal of Central Banking 10 (2), pp. 169-236",10.5089/9781484333693.001,matched,1.0000,78d59631-1509-497c-b15f-d57584562569,Monetary and Macroprudential Policy in an Estimated DSGE Model of the Euro Area,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_qr14__monetary_and_macroprudential_policy_in_an_estimated_dsge_model_of_the_eu__78d59631/full.md,9581575b48d74538960ceff7d7fbf78272a6b718f82327237b0d87d78f3ca384,dsge-evaluation,raw/mmb_papers/Monetary and Macroprudential Policy in an Estimated DSGE Model of the Euro Area.pdf,f203285b43f44464e5a46feab17db716d7930d316eeff2e47e9f18290396884b,not_vendored_public_repo_copyright_boundary,EA_QR14,1
ea_quest3__quest_iii_an_estimated_open_economy_dsge_model_of_the_euro_area_with_fis__6b625a09,ea_quest3__quest_iii_an_estimated_open_economy_dsge_model_of_the_euro_area_with_fis,QUEST III: An estimated open-economy DSGE model of the euro area with fiscal and monetary policy,"Ratto, Marco; Roeger, Werner; Veld, Jan",2009,"Economic Modelling 26(1), pp. 222-233",10.1016/j.econmod.2008.06.014,matched,1.0000,6b625a09-9138-4314-b1be-5f8af29cf39a,QUEST III- An estimated open-economy DSGE model of the euro area with fiscal and monetary policy,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_quest3__quest_iii_an_estimated_open_economy_dsge_model_of_the_euro_area_with_fis__6b625a09/full.md,09e6a9c868b6c03b0e760763aace4dd1bd94eab528b5678d4aaeae9903afbaf2,dsge-evaluation,raw/mmb_papers/QUEST III- An estimated open-economy DSGE model of the euro area with fiscal and monetary policy.pdf,e4f83ccf0d1a472d3b30055a5f8a5738836d768414b56a5420db2198ba554cf9,not_vendored_public_repo_copyright_boundary,EA_QUEST3,1
ea_sr07__bayesian_estimation_of_an_open_economy_dsge_model_with_incomplete_pass_t__04510512,ea_sr07__bayesian_estimation_of_an_open_economy_dsge_model_with_incomplete_pass_t,Bayesian estimation of an open economy DSGE model with incomplete pass-through,"Adolfson, Malin; Laseen, Stefan; Linde, Jesper; Villani, Mattias",2007,"Journal of International Economics 72, pp. 481-511",10.1016/j.jinteco.2007.01.003,matched,1.0000,04510512-1dc6-4f17-ba97-10adfd4070e2; fb7aa265-28a1-4f50-b036-23f07f6c8c0b,Bayesian estimation of an open economy DSGE model with incomplete pass-through,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_sr07__bayesian_estimation_of_an_open_economy_dsge_model_with_incomplete_pass_t__04510512/full.md,e5e1870d172a03ad1a971cf32b2e1488f8895b0aa609233702c94de7b2f6469c,dsge-evaluation,raw/mmb_papers/Bayesian estimation of an open economy DSGE model with incomplete pass-through.pdf,595b4a60c4ee3113a271927364226644f3a697f11e1bfad06eb5a825c6ee9d52,not_vendored_public_repo_copyright_boundary,EA_SR07,1
ea_sw03__an_estimated_dynamic_stochastic_general_equilibrium_model_of_the_euro_ar__244ad381,ea_sw03__an_estimated_dynamic_stochastic_general_equilibrium_model_of_the_euro_ar,An estimated dynamic stochastic general equilibrium model of the euro area,"Smets, Frank; Wouters, Rafael",2003,"Journal of the European Economic Association 1(5), pp. 1123-1175",10.1162/154247603770383415,matched,1.0000,244ad381-274c-4050-99e1-38d38ebaabf7; 22b8bb79-81e8-4a35-b7c0-41aec144b83d,An estimated dynamic stochastic general equilibrium model of the euro area,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_sw03__an_estimated_dynamic_stochastic_general_equilibrium_model_of_the_euro_ar__244ad381/full.md,c79c3f623e967ef997d9d836abf1f44ea774f7c47bd75fc27a2aa6fc05824388,dsge-evaluation,raw/mmb_papers/An estimated dynamic stochastic general equilibrium model of the euro area.pdf,4a7969dd16207fb35c810c020801f9cc27f99ddf9d4f2da2b8d57a4bdfec7152,not_vendored_public_repo_copyright_boundary,EA_SW03,1
ea_sww14__professional_forecasters_and_real_time_forecasting_with_a_dsge_model__2118a8eb,ea_sww14__professional_forecasters_and_real_time_forecasting_with_a_dsge_model,Professional forecasters and real-time forecasting with a DSGE model,"Smets, Frank; Warne, Anders; Wouters, Rafael",2014,International Journal of Forecasting 30 (2014) 981–995,10.1016/j.ijforecast.2014.03.018,matched,1.0000,2118a8eb-5532-46a0-a3fb-bbbf4871f8d4,Professional forecasters and real-time forecasting with a DSGE model,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_sww14__professional_forecasters_and_real_time_forecasting_with_a_dsge_model__2118a8eb/full.md,820f3d7546e8b7abb7a3175a39e4f2eeff2f785ab0d4ee7b443b2442a9d047ee,dsge-evaluation,raw/mmb_papers/Professional forecasters and real-time forecasting with a DSGE model.pdf,f282495cc774d4cfe7ee0c5b3d06fa8df6a9cd628538f2ae0db78af7cab3c402,not_vendored_public_repo_copyright_boundary,EA_SWW14,1
ea_vi16bgg_ea_vi16gk_us_vi16bgg_us_vi16gk__financial_frictions_in_the_euro_area_and_the_united_states_a_bayesian_as__ed2f2b1d,ea_vi16bgg_ea_vi16gk_us_vi16bgg_us_vi16gk__financial_frictions_in_the_euro_area_and_the_united_states_a_bayesian_as,Financial frictions in the Euro Area and the United States: a Bayesian assessment,"Villa, Stefania",2016,"Macroeconomic Dynamics, 20(05), pp. 1313-1340.",10.1017/s1365100514000881,matched,1.0000,ed2f2b1d-60d9-4da9-a9c6-b57af3b7e740,Financial frictions in the Euro Area and the United States- a Bayesian assessment,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_vi16bgg_ea_vi16gk_us_vi16bgg_us_vi16gk__financial_frictions_in_the_euro_area_and_the_united_states_a_bayesian_as__ed2f2b1d/full.md,24af116f5329907e2309f8c7a279c7bbce95b61ea5533508968043be38c019df,dsge-evaluation,raw/mmb_papers/Financial frictions in the Euro Area and the United States- a Bayesian assessment.pdf,dcef1c6973bb0685bbdd2c711afeb60e3199b269ceef8dd01f08882d89b2685f,not_vendored_public_repo_copyright_boundary,EA_VI16bgg;EA_VI16gk;US_VI16bgg;US_VI16gk,4
eacz_gem03__monetary_rule_for_small_open_emerging_economies__7512f0ea,eacz_gem03__monetary_rule_for_small_open_emerging_economies,"Monetary rule for small, open, emerging economies","Laxton, Douglas; Pesenti, Paolo",2003,"Journal of Monetary Economics 50(5), pp. 1109-1146",10.1016/s0304-3932(03)00057-6,matched,1.0000,7512f0ea-fa74-4a87-a6a7-25f1c080f429,"Monetary rule for small, open, emerging economies",1.0000,dsge-evaluation,raw/mmb_mineru/runs/eacz_gem03__monetary_rule_for_small_open_emerging_economies__7512f0ea/full.md,53cc5fc3cbcaadcf6b8e7eb5a243683800b52115e593bb9b46e6d4d218c51c2b,dsge-evaluation,"raw/mmb_papers/Monetary rule for small, open, emerging economies.pdf",246add562a1c8ca74bf354800715f19408bdce792dfbf1102c762fcbfe357e20,not_vendored_public_repo_copyright_boundary,EACZ_GEM03,1
eaes_ra09__inflation_differentials_between_spain_and_the_emu_a_dsge_perspective__9d18a448,eaes_ra09__inflation_differentials_between_spain_and_the_emu_a_dsge_perspective,Inflation differentials between Spain and the EMU: A DSGE perspective,"Rabanal, Pau",2009,"Journal of Money, Credit and Banking 41(6), pp. 1141-1166",10.1111/j.1538-4616.2009.00250.x,matched,1.0000,9d18a448-9e8f-4f5d-afd4-ccab95a34c76,Inflation differentials between Spain and the EMU- A DSGE perspective,1.0000,dsge-evaluation,raw/mmb_mineru/runs/eaes_ra09__inflation_differentials_between_spain_and_the_emu_a_dsge_perspective__9d18a448/full.md,01913e5afa64364e6e445420de1077b6ec6d88686a768c4a3f1a356a30f86c2e,dsge-evaluation,raw/mmb_papers/Inflation differentials between Spain and the EMU- A DSGE perspective.pdf,e4e1641e0ad781c35b7e0c9b53c5d06b7060c11c21fbfff76b41fbd6d9676ca5,not_vendored_public_repo_copyright_boundary,EAES_RA09,1
eaus_nawm08__tax_reform_and_labour_market_performance_in_the_euro_area_a_simulation_b__5c5819cc,eaus_nawm08__tax_reform_and_labour_market_performance_in_the_euro_area_a_simulation_b,Tax reform and labour-market performance in the euro area: A simulation-based analysis using the New Area-Wide Model,"Coenen, Günther; McAdam, Peter; Straub, Roland",2008,"Journal of Economic Dynamics & Control 32(8), pp. 2543-2583",10.1016/j.jedc.2007.09.007,matched,1.0000,5c5819cc-74be-4264-82bc-187cd529de8d,Tax reform and labour-market performance in the euro area- A simulation-based analysis using the New Area-Wide Model,1.0000,dsge-evaluation,raw/mmb_mineru/runs/eaus_nawm08__tax_reform_and_labour_market_performance_in_the_euro_area_a_simulation_b__5c5819cc/full.md,15569c0b08643411649b53c651d9ef325768a90f517e5189ca91665a8b1cd6f9,dsge-evaluation,raw/mmb_papers/Tax reform and labour-market performance in the euro area- A simulation-based analysis using the New Area-Wide Model.pdf,2df4cf26a1627be4dc1fff22ecc63d03245530f81a1b3fe6d4433cd8435d6fa3,not_vendored_public_repo_copyright_boundary,EAUS_NAWM08,1
