"ModelID","Task","Paper","Year","ModelType","Economy","Category","KeyFeatures","DateAdded","Status"
"EA_DKR11","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Macroeconomic Propagation under Different Regulatory Regimes: Evidence from an Estimated DSGE Model for the Euro Area","2011","New Keynesian DSGE with banking sector and financial frictions (large-scale)","Euro Area","4. Banking Sector / Bank Capital Channel","banking sector, patient/impatient HH, collateral constraints (LTV), capital accumulation, Rotemberg price adj., external finance premium, credit frictions, bank capital/leverage","2026-06-18","derivation-only (needs_review)"
"EA_GE10","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The External Finance Premium in the Euro Area: A Dynamic Stochastic General Equilibrium Analysis","2010","New Keynesian DSGE with financial accelerator (Bernanke-Gertler-Gilchrist)","Euro Area","3. Financial Accelerator / BGG-type Credit Frictions","costly state verification, external finance premium, Bayesian estimation, financial accelerator (BGG)","2026-06-18","derivation-only (needs_review)"
"EA_GNSS10","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Credit and Banking in a DSGE Model of the Euro Area","2010","New Keynesian DSGE with banking sector and credit frictions","Euro Area","4. Banking Sector / Bank Capital Channel","banking sector, patient/impatient HH, external finance premium, bank capital/leverage, Rotemberg price adj., investment adj. costs","2026-06-18","derivation-only (needs_review)"
"EA_PV15","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Cross-Border Banking Flows Spillovers in the Eurozone: Evidence from an Estimated DSGE Model","2015","New Keynesian DSGE, two-country monetary union with cross-border banking and financial accelerator","Euro Area (Core and Periphery countries)","6. Open Economy / Multi-Country","two-country, financial accelerator (BGG), Bayesian estimation, credit frictions","2026-06-18","derivation-only (needs_review)"
"EA_PV16","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The Portfolio Balance Mechanism and QE in the Euro Area","2016","New Keynesian DSGE with multiple asset classes and quantitative easing (QUEST3 extension)","Euro Area (and Rest of World)","9. Unconventional Monetary Policy / QE","imperfect substitutability, term structure, QE/asset purchases, Liquidity-constrained + Ricardian households, two-country","2026-06-18","derivation-only (needs_review)"
"EA_PV17","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The Macroeconomic Effects of the ECB's Evolving QE Programme: A Model-Based Analysis","2017","New Keynesian DSGE with multiple asset classes, cross-border bond holdings, and quantitative easing (QUEST3 extension)","Euro Area (and Rest of World, with cross-border long-term bond holdings)","9. Unconventional Monetary Policy / QE","cross-border banking, imperfect substitutability, QE/asset purchases, two-country","2026-06-18","derivation-only (needs_review)"
"EA_QR14","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Monetary and Macroprudential Policy in an Estimated DSGE Model of the Euro Area","2014","New Keynesian DSGE, two-country monetary union with housing, collateral constraints, and macroprudential policy","Euro Area (Core and Periphery)","13. Macroprudential Policy","two-country, collateral constraints (LTV), financial accelerator (BGG), currency/monetary union, Bayesian estimation","2026-06-18","derivation-only (needs_review)"
"EA_QUEST3","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","QUEST III: An Estimated Open-Economy DSGE Model of the Euro Area with Fiscal and Monetary Policy","2009","New Keynesian DSGE, large-scale estimated open-economy model","Euro Area","14. Large Official Policy Models","rule-of-thumb HH, distortionary taxes, Calvo prices+wages, investment adj. costs, habit formation, Foreign","2026-06-18","derivation-only (needs_review)"
"EA_SR07","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Bayesian Estimation of an Open Economy DSGE Model with Incomplete Pass-Through","2007","New Keynesian DSGE, open economy, Bayesian estimation","Euro Area (estimated as an open economy vis-a-vis the rest of the world)","6. Open Economy / Multi-Country","Bayesian estimation, incomplete pass-through, Calvo prices, UIP risk premium, Smets-Wouters, External VAR for foreign, distortionary taxes","2026-06-18","derivation-only (needs_review)"
"EA_SW03","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","An Estimated Stochastic Dynamic General Equilibrium Model of the Euro Area","2003","New Keynesian DSGE, medium-scale, Bayesian estimation","Euro Area","2. Estimated DSGE Benchmarks (Smets-Wouters Type)","Calvo prices, Calvo wages, habit formation, investment adj. costs, variable capital util., employment adjustment, 7 structural shocks","2026-06-18","derivation-only (needs_review)"
"EA_SWW14","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Professional Forecasters and Real-Time Forecasting with a DSGE Model","2014","New Keynesian DSGE with unemployment (Gali-Smets-Wouters extension), Euro Area","Euro Area","2. Estimated DSGE Benchmarks (Smets-Wouters Type)","search-and-matching, Distinguishes natural rate of unemployment, Bayesian estimation, 7 structural shocks","2026-06-18","derivation-only (needs_review)"
"EA_VI16bgg","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Financial Frictions in the Euro Area and the United States: A Bayesian Assessment","2016","New Keynesian DSGE with financial accelerator (Smets-Wouters + BGG), Bayesian estimation","Euro Area (BGG variant; companion US variant also exists)","3. Financial Accelerator / BGG-type Credit Frictions","entrepreneurs, external finance premium, Bayesian estimation, Contains all standard Smets-Wouters","2026-06-18","derivation-only (needs_review)"
"EA_VI16gk","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Financial Frictions in the Euro Area and the United States: A Bayesian Assessment","2016","New Keynesian DSGE with financial intermediary frictions (Gertler-Karadi variant)","Euro Area","4. Banking Sector / Bank Capital Channel","financial intermediary, banking sector, Bayesian estimation, Calvo prices+wages, habit formation, investment adj. costs, employment adjustment","2026-06-18","derivation-only (needs_review)"
"ESREA_FIMOD12","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","FiMod -A DSGE Model for Fiscal Policy Simulations","2012","Two-country New Keynesian DSGE with labor market search-and-matching frictions","Spain (home) and Rest of Euro Area (foreign) -calibrated as currency union","7. Fiscal Policy / Government Spending","two-country, search-and-matching, Three labor market pools, public investment, Ricardian/non-Ricardian HH, distortionary taxes, investment adj. costs, Calvo prices","2026-06-18","derivation-only (needs_review)"
"FI_AINO16","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The Aino 2.0 Model","2016","Medium-large scale New Keynesian DSGE with financial sector (open economy)","Finland (small open economy in Euro Area)","14. Large Official Policy Models","small open economy, bank capital/leverage, Bayesian estimation, Multiple sectors, hand-to-mouth HH, inflation indexation, investment adj. costs, Foreign sector","2026-06-18","derivation-only (needs_review)"
"G2_SIGMA08","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Trade Adjustment and the Composition of Trade","2008","Two-country open economy New Keynesian DSGE (SIGMA model -Federal Reserve)","Home country and Foreign country (calibrated to US and rest of world)","6. Open Economy / Multi-Country","SIGMA, two-country, term structure, Ricardian/non-Ricardian HH, investment adj. costs, Rich financial sector variables","2026-06-18","derivation-only (needs_review)"
"G3_CW03","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Inflation Dynamics and International Linkages: A Model of the United States, the Euro Area and Japan","2003","Three-country linearized macroeconomic model with rational expectations and staggered contracts","United States, Euro Area, and Japan (three-country)","6. Open Economy / Multi-Country","three-country, Staggered wage/price contracts, term structure, inflation targeting","2026-06-18","derivation-only (needs_review)"
"GPM6_IMF13","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","GPM6: The Global Projection Model with 6 Regions","2013","Semi-structural Global Projection Model (calibrated reduced-form DSGE-consistent)","Six global regions: United States (US), Euro Area (EU), Japan (JA), Emerging Asia (EA6), Latin America (LA6), Remaining Countries (RC6)","14. Large Official Policy Models","Bank lending tightening, inflation targeting, commodity/energy sector","2026-06-18","derivation-only (needs_review)"
"HK_FP13","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Housing Prices and the Business Cycle: An Empirical Application to Hong Kong","2013","Two-agent, two-sector open economy New Keynesian DSGE with housing and collateral constraints","Hong Kong (small open economy)","8. Housing / Collateral Constraints","two-sector, patient/impatient HH, collateral constraints (LTV), small open economy, Bayesian estimation, Calvo prices, Foreign sector","2026-06-18","derivation-only (needs_review)"
"HK_FPP11","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Stock Market Wealth Effects in an Estimated DSGE Model for Hong Kong","2011","Small open economy New Keynesian DSGE with stock market wealth effects","Hong Kong (small open economy)","8. Housing / Collateral Constraints","small open economy, equity/wealth channel, Bayesian estimation, Phillips curve for inflation dynamics, fixed exchange rate, preference/risk-premium shocks","2026-06-18","derivation-only (needs_review)"
"NK_AFL15","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Monetary Policy and Risk Taking","2015","New Keynesian DSGE with banking sector and bank run risk","Generic (calibrated to represent a developed economy, with reference to euro area)","4. Banking Sector / Bank Capital Channel","banking sector, Banks choose funding structure, Risk-taking channel of monetary policy, Calvo prices, investment adj. costs, Government expenditure sector","2026-06-18","derivation-only (needs_review)"
"NK_BGEU10","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Labor Markets and Monetary Policy: A New Keynesian Model with Unemployment","2010","New Keynesian DSGE with unemployment and search-and-matching labor market","Generic -EU (Euro) specification (rigid labor market calibration)","5. Labour Market Frictions (Search & Matching)","search-and-matching, Two specifications, Calvo prices, Taylor-type monetary policy rule, Simplified model without capital, Nash bargaining","2026-06-18","derivation-only (needs_review)"
"NK_BGG99","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The Financial Accelerator in a Quantitative Business Cycle Framework","1999","New Keynesian DSGE with financial accelerator (BGG framework)","Generic (calibrated to US)","3. Financial Accelerator / BGG-type Credit Frictions","financial accelerator (BGG), costly state verification, Calvo prices, entrepreneur net worth, investment adj. costs, nonlinear model","2026-06-18","derivation-only (needs_review)"
"NK_BGUS10","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Labor Markets and Monetary Policy: A New Keynesian Model with Unemployment","2010","New Keynesian DSGE with unemployment and search-and-matching labor market","Generic -US (fluid labor market) specification","5. Labour Market Frictions (Search & Matching)","search-and-matching, Two specifications, Calvo prices, Taylor-type monetary policy rule, Simplified model without capital","2026-06-18","derivation-only (needs_review)"
"NK_CFP10","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Optimal Monetary Policy in a Model with Agency Costs","2010","New Keynesian DSGE with financial frictions (agency costs / costly state verification)","Generic (calibrated to US)","3. Financial Accelerator / BGG-type Credit Frictions","costly state verification, financial intermediary, external finance premium, Asset price, Calvo prices, Labor supplied by households, Model, Credit distortion","2026-06-18","derivation-only (needs_review)"
"NK_CGG02","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","A Simple Framework for International Monetary Policy Analysis","2002","Two-country small open economy New Keynesian DSGE","Home country (small open economy) and Foreign country (large economy) -generic","6. Open Economy / Multi-Country","two-country, small open economy, UIP risk premium, Parameter values taken from Gali-Monacelli","2026-06-18","derivation-only (needs_review)"
"NK_CGG99","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The Science of Monetary Policy: A New Keynesian Perspective","1999","Simple New Keynesian model (IS-PC-MP three-equation system) -extended hybrid version","Generic closed economy (calibrated to US using Rotemberg-Woodford 1997 parameters)","1. Baseline NK / Monetary Policy Rules","Canonical three-equation New Keynesian framework, hybrid version, Output persistence, Inflation persistence, Model without capital, Parameters from Rotemberg-Woodford","2026-06-18","derivation-only (needs_review)"
"NK_CK08","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Resuscitating the Wage Channel in Models with Unemployment Fluctuations","2008","New Keynesian DSGE with search-and-matching labor market frictions (monthly frequency, recalibrated quarterly)","Generic (recalibrated to quarterly frequency from original monthly calibration)","5. Labour Market Frictions (Search & Matching)","search-and-matching, Right-to-manage wage bargaining, Calvo prices, Monopolistically competitive intermediate goods firms, Competitive final goods firm, price + wage Phillips curves","2026-06-18","derivation-only (needs_review)"
"NK_CKL09","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The Role of Labor Markets for Euro Area Monetary Policy","2009","New Keynesian DSGE with search-and-matching labor market frictions (calibrated to Euro Area)","Euro Area","5. Labour Market Frictions (Search & Matching)","search-and-matching, Right-to-manage wage bargaining, Calvo prices, Monopolistically competitive intermediate goods firms, Investment + government spending","2026-06-18","derivation-only (needs_review)"
"NK_CW09","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Credit Frictions and Optimal Monetary Policy","2009","New Keynesian DSGE with heterogeneous households and credit frictions","Generic (calibrated to US)","3. Financial Accelerator / BGG-type Credit Frictions","patient/impatient HH, credit frictions, Government bonds, Calvo prices, linear","2026-06-18","derivation-only (needs_review)"
"NK_DEFK17","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Output Gap, Monetary Policy Trade-offs and Financial Frictions","2017","New Keynesian DSGE with Financial Frictions","Closed economy (calibrated to the US)","3. Financial Accelerator / BGG-type Credit Frictions","credit frictions, Capitalized gross profits, Fixed costs in the retail, Calvo prices, investment adj. costs, banking sector","2026-06-18","derivation-only (needs_review)"
"NK_DT12","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Optimal Monetary Policy in a Model of the Credit Channel","2013","New Keynesian DSGE with Financial Frictions and Banking","Closed economy (calibrated to US data)","3. Financial Accelerator / BGG-type Credit Frictions","costly state verification, endogenous default, Calvo prices, risk/uncertainty shocks","2026-06-18","derivation-only (needs_review)"
"NK_ET14","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Unconventional Government Debt Purchases as a Supplement to Conventional Monetary Policy","2014","New Keynesian DSGE with Unconventional Monetary Policy (QE)","Closed economy (stylized)","9. Unconventional Monetary Policy / QE","QE/asset purchases, Calvo prices+wages, investment adj. costs, imperfect substitutability, Multiple preference + technology shocks","2026-06-18","derivation-only (needs_review)"
"NK_FLMF18","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Monetary Policy Spillovers, Global Commodity Prices and Cooperation","2018","New Keynesian DSGE, Small Open Economy with Commodity Sector","Small open economy with a foreign (rest-of-world) block; commodity prices determined globally","6. Open Economy / Multi-Country","small open economy, Commodity goods enter both consumption, Foreign share in CPI, commodity/energy sector, Calvo prices, Multiple equilibrium concepts","2026-06-18","derivation-only (needs_review)"
"NK_FNL23","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Toward a Green Economy: The Role of Central Bank's Asset Purchases","2023","New Keynesian DSGE with Green and Brown Production Sectors","Closed economy with two production sectors (green and brown)","9. Unconventional Monetary Policy / QE","green/brown sectors, QE/asset purchases, firm-specific capital, imperfect substitutability, emission/carbon tax, carbon/pollution dynamics","2026-06-18","derivation-only (needs_review)"
"NK_GHP16","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Housework and Fiscal Expansions","2016","New Keynesian DSGE with Home Production","Closed economy (calibrated to the US)","5. Labour Market Frictions (Search & Matching)","home production, Two types of capital, Two types of consumption, Home + market labor, Calvo prices, investment adj. costs","2026-06-18","derivation-only (needs_review)"
